date,risk_score,alert,true_label
2019-04-26,1.1464741e-07,0,0.0
2019-04-27,3.8122099e-07,0,0.0
2019-04-28,4.6170335e-08,0,0.0
2019-04-29,3.094606e-07,0,0.0
2019-04-30,7.457468e-08,0,0.0
2019-05-01,1.9182679e-07,0,0.0
2019-05-02,2.423727e-07,0,0.0
2019-05-03,1.9258412e-06,0,0.0
2019-05-04,1.6578644e-05,0,0.0
2019-05-05,0.00012765653,0,0.0
2019-05-06,9.719916e-05,0,0.0
2019-05-07,0.00068644027,0,0.0
2019-05-08,0.0030900373,0,0.0
2019-05-09,0.0048836237,0,0.0
2019-05-10,0.0028400887,0,0.0
2019-05-11,0.0042178524,0,0.0
2019-05-12,0.005631942,0,0.0
2019-05-13,0.0025592684,0,0.0
2019-05-14,0.00045644338,0,0.0
2019-05-15,0.0003160558,0,0.0
2019-05-16,0.00021884614,0,0.0
2019-05-17,3.8897488e-05,0,0.0
2019-05-18,2.5452723e-06,0,0.0
2019-05-19,2.5122398e-08,0,0.0
2019-05-20,1.390182e-09,0,0.0
2019-05-21,1.4935454e-09,0,0.0
2019-05-22,7.602643e-11,0,0.0
2019-05-23,4.2022635e-11,0,0.0
2019-05-24,5.1668097e-12,0,0.0
2019-05-25,4.2261866e-10,0,0.0
2019-05-26,1.8414802e-10,0,0.0
2019-05-27,2.967307e-10,0,0.0
2019-05-28,1.4532e-11,0,0.0
2019-05-29,2.890339e-09,0,0.0
2019-05-30,4.6332636e-09,0,0.0
2019-05-31,1.2022706e-07,0,0.0
2019-06-01,2.3086786e-08,0,0.0
2019-06-02,9.849705e-07,0,0.0
2019-06-03,1.4364136e-05,0,0.0
2019-06-04,5.8776273e-05,0,0.0
2019-06-05,9.162373e-06,0,0.0
2019-06-06,7.569211e-05,0,0.0
2019-06-07,0.0016038403,0,0.0
2019-06-08,0.0175782,0,0.0
2019-06-09,0.066629305,0,1.0
2019-06-10,0.24104638,0,1.0
2019-06-11,0.8109626,1,1.0
2019-06-12,0.929382,1,1.0
2019-06-13,0.90201473,1,0.0
2019-06-14,0.9016107,1,0.0
2019-06-15,0.90652275,1,0.0
2019-06-16,0.8716858,1,0.0
2019-06-17,0.8671046,1,0.0
2019-06-18,0.8515321,1,0.0
2019-06-19,0.86498916,1,0.0
2019-06-20,0.837343,1,0.0
2019-06-21,0.7771802,1,0.0
2019-06-22,0.8328035,1,0.0
2019-06-23,0.8513211,1,0.0
2019-06-24,0.8013454,1,0.0
2019-06-25,0.70720476,1,0.0
2019-06-26,0.7281601,1,0.0
2019-06-27,0.67416596,1,0.0
2019-06-28,0.6484388,1,0.0
2019-06-29,0.6878194,1,0.0
2019-06-30,0.6609186,1,0.0
2019-07-01,0.64777666,1,0.0
2019-07-02,0.66206884,1,0.0
2019-07-03,0.6566921,1,0.0
2019-07-04,0.63806915,1,0.0
2019-07-05,0.64379245,1,0.0
2019-07-06,0.6166987,1,0.0
2019-07-07,0.61559725,1,0.0
2019-07-08,0.605857,1,0.0
2019-07-09,0.5696169,1,0.0
2019-07-10,0.57599384,1,0.0
2019-07-11,0.6443331,1,0.0
2019-07-12,0.60897213,1,0.0
2019-07-13,0.56409705,1,0.0
2019-07-14,0.47029856,0,0.0
2019-07-15,0.44762936,0,0.0
2019-07-16,0.42625955,0,0.0
2019-07-17,0.39078403,0,0.0
2019-07-18,0.308211,0,0.0
2019-07-19,0.30756247,0,0.0
2019-07-20,0.32043585,0,0.0
2019-07-21,0.41726846,0,0.0
2019-07-22,0.48225835,0,0.0
2019-07-23,0.5221559,1,0.0
2019-07-24,0.55131465,1,0.0
2019-07-25,0.5695833,1,0.0
2019-07-26,0.59697354,1,0.0
2019-07-27,0.60655284,1,0.0
2019-07-28,0.59435505,1,0.0
2019-07-29,0.63554144,1,0.0
2019-07-30,0.6803003,1,0.0
2019-07-31,0.68227357,1,0.0
2019-08-01,0.69812095,1,0.0
2019-08-02,0.6999687,1,0.0
2019-08-03,0.73805594,1,0.0
2019-08-04,0.7587217,1,0.0
2019-08-05,0.8265636,1,0.0
2019-08-06,0.8400316,1,0.0
2019-08-07,0.8505682,1,0.0
2019-08-08,0.84903824,1,0.0
2019-08-09,0.843522,1,0.0
2019-08-10,0.81625,1,0.0
2019-08-11,0.777629,1,0.0
2019-08-12,0.38109183,0,0.0
2019-08-13,0.18919782,0,0.0
2019-08-14,0.09735406,0,0.0
2019-08-15,0.05926691,0,0.0
2019-08-16,0.032438986,0,0.0
2019-08-17,0.027361795,0,0.0
2019-08-18,0.024696052,0,0.0
2019-08-19,0.0406503,0,0.0
2019-08-20,0.087736346,0,0.0
2019-08-21,0.2570837,0,0.0
2019-08-22,0.5323349,1,0.0
2019-08-23,0.9146316,1,0.0
2019-08-24,0.9679718,1,0.0
2019-08-25,0.9761944,1,0.0
2019-08-26,0.9817222,1,0.0
2019-08-27,0.98863447,1,0.0
2019-08-28,0.9902469,1,0.0
2019-08-29,0.98942286,1,0.0
2019-08-30,0.9893588,1,0.0
2019-08-31,0.9895846,1,1.0
2019-09-01,0.9884417,1,1.0
2019-09-02,0.9846266,1,1.0
2019-09-03,0.9798385,1,1.0
2019-09-04,0.9364859,1,0.0
2019-09-05,0.8627229,1,0.0
2019-09-06,0.7250968,1,0.0
2019-09-07,0.6697628,1,0.0
2019-09-08,0.635846,1,0.0
2019-09-09,0.62044185,1,0.0
2019-09-10,0.6032409,1,0.0
2019-09-11,0.5796951,1,0.0
2019-09-12,0.53683275,1,0.0
2019-09-13,0.46676764,0,0.0
2019-09-14,0.3501776,0,0.0
2019-09-15,0.29054946,0,0.0
2019-09-16,0.26507503,0,0.0
2019-09-17,0.26636577,0,0.0
2019-09-18,0.31251842,0,0.0
2019-09-19,0.38622466,0,0.0
2019-09-20,0.38868573,0,0.0
2019-09-21,0.42498186,0,0.0
2019-09-22,0.54619527,1,0.0
2019-09-23,0.6142102,1,0.0
2019-09-24,0.71423024,1,0.0
2019-09-25,0.7508482,1,0.0
2019-09-26,0.6321786,1,0.0
2019-09-27,0.5848536,1,0.0
2019-09-28,0.56571144,1,0.0
2019-09-29,0.56333196,1,0.0
2019-09-30,0.58222747,1,0.0
2019-10-01,0.48201403,0,0.0
2019-10-02,0.33675414,0,0.0
2019-10-03,0.31731752,0,0.0
2019-10-04,0.35430732,0,0.0
2019-10-05,0.40647238,0,0.0
2019-10-06,0.4472295,0,0.0
2019-10-07,0.39511046,0,0.0
2019-10-08,0.4222719,0,0.0
2019-10-09,0.49337614,0,0.0
2019-10-10,0.54123867,1,0.0
2019-10-11,0.57201064,1,0.0
2019-10-12,0.4872397,0,0.0
2019-10-13,0.5238899,1,0.0
2019-10-14,0.48152784,0,0.0
2019-10-15,0.47024804,0,0.0
2019-10-16,0.43696466,0,1.0
2019-10-17,0.38618797,0,1.0
2019-10-18,0.42719397,0,1.0
2019-10-19,0.68668103,1,1.0
2019-10-20,0.65299445,1,0.0
2019-10-21,0.64886093,1,0.0
2019-10-22,0.63160753,1,0.0
2019-10-23,0.617113,1,0.0
2019-10-24,0.6140333,1,0.0
2019-10-25,0.6196141,1,0.0
2019-10-26,0.5894153,1,0.0
2019-10-27,0.4746579,0,0.0
2019-10-28,0.38526797,0,0.0
2019-10-29,0.3280806,0,0.0
2019-10-30,0.30713865,0,0.0
2019-10-31,0.26599917,0,0.0
2019-11-01,0.20243804,0,0.0
2019-11-02,0.16289595,0,0.0
2019-11-03,0.19841617,0,0.0
2019-11-04,0.26587668,0,0.0
2019-11-05,0.4017812,0,0.0
2019-11-06,0.4990378,0,0.0
2019-11-07,0.66140115,1,0.0
2019-11-08,0.704444,1,0.0
2019-11-09,0.6717381,1,0.0
2019-11-10,0.68326473,1,0.0
2019-11-11,0.40546972,0,0.0
2019-11-12,0.10315625,0,0.0
2019-11-13,0.002581001,0,0.0
2019-11-14,0.00081527623,0,0.0
2019-11-15,0.0001425831,0,0.0
2019-11-16,9.3177114e-05,0,0.0
2019-11-17,6.5064633e-06,0,0.0
2019-11-18,6.3473675e-07,0,0.0
2019-11-19,1.3293284e-07,0,0.0
2019-11-20,3.1576068e-08,0,0.0
2019-11-21,8.928431e-09,0,0.0
